Index,Original_Row_Index,TITLE,COMPANY,COMPANY_URL,JOB_DESCRIPTION,REQUIREMENT,LOCATION,SALARY,URL,Data source,Posted_Date,Retrieved_Date,Application_Type
30,29,Sales Manager,Universe Action Limited,https://hk.indeed.com/cmp/Universe-Action-Limited,"Responsible for handling all aspects of sales functions. Lead the sales team to execute a strategic sales plan to achieve the sales target. Identify and develop new business opportunities, acquire new clients, and maintain strong relationships with existing accounts. Develop and strengthen good relationships with existing customers. Achieve assigned sales targets that align with the Company’s objectives and directions. Be capable of understanding the client’s needs to design the desired solution. Collaborate with Marketing & Operations teams to maintain accurate and timely sales activity information. Record sales leads, contacts, referrals, future opportunities and follow-ups.","Bachelor's Degree or above in Business, Marketing, or a related field. Minimum 5 years of experience in sales with managerial experience. Having a strong client network would be an advantage. Proactive with excellent sales techniques, and good interpersonal and communication skills. Able to work under pressure and independently. Strong analytical ability, strategic and problem-solving competence in a complex environment. Proficient in using MS Word, Excel, and PowerPoint. Good command of written and spoken English and Chinese (Mandarin and Cantonese). Familiarity with CRM tool is a plus.",HK,Not specified,https://hk.indeed.com/viewjob?jk=86420ab47d6bc69b,indeed,10/11/2025,Not specified,Not specified
31,30,"Sales Trader, Trading",CITIC Securities International Company Limited,https://hk.indeed.com/cmp/Citic-Securities-International-Company-Limited,"The Sales Trader will play an instrumental role in developing business relationships and maximizing revenues from institutional accounts and hedge funds. Responsibilities include discussing trading strategies, market intelligence, and flow trends; cultivating strong client relationships; identifying cross-selling opportunities; executing trades accurately and efficiently; generating client trades and revenue daily; managing key client accounts as a high-touch relationship manager; identifying revenue opportunities; and providing regular updates on market news and events. The role requires close collaboration with global execution teams, sales, research, and other groups to enhance product penetration and revenue.",Bachelor’s degree or above in a related field; minimum 3 years of trading experience (ideally from a dynamic trading desk); entrepreneurial mindset with client-service focus; strong communication skills; proficiency with market data vendors like Bloomberg; understanding of front-to-back process flow; awareness of sales trading risks; ability to work both independently and within a team; strong command of English and Mandarin.,HK,Not specified,https://hk.indeed.com/viewjob?jk=554b173922431a4d,indeed,10/11/2025,Not specified,Not specified
32,31,Resident Building Services Engineer (Electrical/Mechanical),Turner & Townsend Pty Limited,https://www.turnerandtownsend.com/,"Provide construction site administration and prepare related documents; Supervise MEP contractors’ work to ensure compliance with contractual and statutory requirements; Conduct on-site inspections and monitor work progress; Coordinate with project consultants and contractors on building services installation and performance; Prepare reports, records, and information for valuation of works; Full-time site office role.","Bachelor’s Degree or above in Building Services or Electrical Engineering or equivalent; At least 5 years of relevant site experience in building services, particularly in data centres and inspection work; Good communication and interpersonal skills; Well-organized and independent.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=7a12446c07ffc47d,indeed,10/11/2025,Not specified,Not specified
33,32,Infrastructure & Security Specialist (YL-251105-02),Edps Systems Limited,https://www.edps.com.hk,"Our client, a leading construction firm, is seeking an Infrastructure & Security Specialist to join their growing team. You will be responsible for managing and maintaining LAN/WAN networks and servers, monitoring network performance, conducting troubleshooting, supporting server farm upgrades, performing VM host maintenance, backups, disaster recovery, ensuring systems are up-to-date with patches, preparing ISO 27001:2022 documentation, assisting with site office network setup, conducting vulnerability assessments, and coordinating with vendors for hardware support and procurement.","Degree in Computer Science, Information Technology, Engineering, Networking or related disciplines. At least 3 years’ experience in IT infrastructure with solid knowledge of network protocols, server management, and system administration. Hands-on experience with security tools such as Nessus, firewalls, VPNs, DLP, IPS, and antivirus solutions. Proven ability to implement robust security measures. Strong analytical and troubleshooting skills. Effective communication and collaboration abilities. Familiarity with Microsoft Azure, AWS, VMware; certifications like ITIL, CISSP, CISM, CISA, CEH are a plus.",Hong Kong,Not specified,https://hk.indeed.com/viewjob?jk=7707e389eabcf93b,indeed,10/11/2025,Not specified,Submit resume with current and expected salary through the system
35,34,UAT testing,Optimum Solutions (S) Pte. Ltd.,https://hk.indeed.com/cmp/Optimum-Solutions-(s)-Pte.-Ltd.,Job title- UAT Testing,"5-7 years of experience in Product QA with hands-on experience in UAT and software testing; Bachelor’s degree or above in Information Technology, Information System, Business, or related fields; Proven work experience in software quality assurance and strong knowledge of QA methodologies, tools, and processes; Knowledge in automated testing, performance testing, and quality system construction is advantageous; Corporate banking experience required.",HK,Not specified,https://hk.indeed.com/viewjob?jk=dc67507c459e7be0,indeed,10/11/2025,Not specified,Not specified
36,35,Executive Assistant / Secretary (25-28K),Career International AP (Hong Kong) Limited,https://hk.indeed.com/cmp/Career-International-Ap-(hong-Kong)-Limited,"We are seeking a highly organized and proactive Executive Assistant to join our family office team. The successful candidate will provide comprehensive administrative and executive support to the principals and senior management, working closely within a collaborative team environment. Key responsibilities include providing advanced administrative and secretarial support to senior executives, managing calendars, arranging meetings and travel, preparing presentations, planning family and business events, coordinating office tasks, handling confidential information, serving as a point of contact for stakeholders, and assisting with ad-hoc projects.","Minimum 3-5 years of experience as an executive assistant or senior secretary, preferably in a professional services environment; excellent organizational and time management skills; strong communication and interpersonal abilities; proficiency in Microsoft Office suite and office equipment; fluency in English and Cantonese, with Mandarin as an advantage; proactive, flexible, and adaptable work approach.",HK,Not specified,https://hk.indeed.com/viewjob?jk=d8ca007bef31cdc7,indeed,10/11/2025,Not specified,Not specified
37,36,"Senior Manager, Trade Marketing (Trade Shows)",Hong Kong Tourism Board,https://www.discoverhongkong.com/uk/index.html,"Supervise and control quality of Trade Promotions activities including trade shows/events, government/GBA promotions, and trade service support. Implement global B2B and B2C show plans, manage Hong Kong pavilion design and build, execute high-profile consumer events, and develop marketing materials. Support strategic initiatives aligned with HKTB’s goals.","University graduate in Marketing/Business Administration or Event Management; at least 10 years’ experience in event management; proven track record in large-scale marketing projects; strong knowledge in print production, 3D fabrication, and digital technologies; excellent project management, leadership, and communication skills; proficient in English, Cantonese, and Putonghua.",HK,Not specified,https://hk.indeed.com/viewjob?jk=ec30fd189c7c0d98,indeed,10/11/2025,Not specified,"Online via ""Apply"" button"
38,37,Merchandiser,Global Management Services Limited,https://hk.indeed.com/cmp/Global-Management-Services-Limited,"Responsible for supply chain management, including supplier sourcing, cost and price negotiations, handling quotations, samples, and goods production; calculating price breakdown, price control, and order negotiation; supporting customer liaison to understand market trends for garment products; collaborating with R&D Team on market trends, new styles, and collections; identifying quality and quantity issues; approving samples; following up on production schedules; maintaining supplier relationships; coordinating with Quality Assurance to ensure product standards.","College or University graduates, preferably in textile & clothing-related disciplines; minimum 3 years of merchandising experience; strong fashion sense and creativity; good communication, organization, and attention to detail; experience in sample to bulk production follow-up; experience with European/USA markets and offshore exposure; problem-solving skills in production; ability to work independently; proficiency in MS Office (Excel, Word, Outlook); fluent in English, Cantonese, and Mandarin.",HK,Not specified,https://hk.indeed.com/viewjob?jk=2784fd590387540d,indeed,10/11/2025,Not specified,"Online via “Apply now” with resume, current & expected salary, and availability"
39,38,Assistant Finance Officer/ Finance Officer,Kai Fu Property Services Co Ltd,https://hk.indeed.com/cmp/Kai-Fu-Property-Services-Co-Ltd,"Handling routine accounting operations, including data input for daily transactions, A/R, issuing invoices, monthly stock take and reconciliation, document filing, preparing statement of accounts, etc. Maintain an accurate and updated database of accounting information. Handling accounting duties, including billing / accounts payables / accounts receivable. Performing data entry & regular data updates with excellent accuracy. Preparing month-end, quarter-end and year-end closing, and accounts reconciliation, accounting schedules and breakdown. Assist in other ad hoc assignment as required.","LCC level 2 or above. Minimum 2 years accounting experience. Independent, strong attention to details and accuracy, able to work in fast-paced environment. Proficiency in MS office (Excel, Word & Power Point) and Chinese Word Processing. Good communication skills. Candidates with more experience will be considered as Senior Finance Officers.","Kwun Tong, HK",Not specified,https://hk.indeed.com/viewjob?jk=c80121e133fa7c9e,indeed,10/11/2025,Not specified,Not specified
41,40,Human Resources Officer (All-Round),Kai Fu Property Services Co Ltd,https://hk.indeed.com/cmp/Kai-Fu-Property-Services-Co-Ltd,"Manage full spectrum of compensation & benefits, payroll, attendance, contracts, employee relations, final payments, MPF reports, work injury cases, leave records, HR reporting, tax filings, and HRIS projects. Coordinate end-to-end recruitment for frontline staff, headcount monitoring, contract preparation, verification of credentials, and onboarding. Provide general HR support and assist in ad-hoc initiatives.","Diploma/Higher Diploma in HRM or related field. Familiarity with Hong Kong Employment Ordinance. Good command of English and Chinese. Detail-oriented, organized, strong communication skills. Ability to handle confidential information. Team player with ability to work under tight deadlines. Proficient in Excel. Experience with various systems is an advantage. Relevant experience preferred but not required.","San Po Kong, HK",Not specified,https://hk.indeed.com/viewjob?jk=e57f25c906298aef,indeed,10/11/2025,Not specified,Not specified
42,41,"Communications Manager, Asia",Lockton Companies,https://global.lockton.com/,"Join as Communications Manager for Asia to shape and deliver communication strategies across the region. Develop regional communication plans, lead internal and external communications, manage media relations, support event communications, oversee digital channels, handle crisis communication, and engage stakeholders. Enhance brand visibility and support business growth in a dynamic environment.","Excellent communication and storytelling skills; strong project management abilities; experience in media relations and content creation; strategic and creative thinking; collaboration and interpersonal skills; 5+ years of regional communications experience (preferably B2B); degree in Communications, Marketing, or PR; proficiency in English; knowledge of Chinese or other Asian languages is a plus; familiarity with digital platforms and crisis communication.",HK,Not specified,https://hk.indeed.com/viewjob?jk=a8257b8f67111295,indeed,10/11/2025,Not specified,"Apply through the ""APPLY NOW"" button on the job page"
43,42,Account Manager( General Insurance),Lockton Companies,https://global.lockton.com/,Assist team leaders to identify/develop prospective business opportunities; provide professional broking service to corporate clients on insurance solutions; handle insurance policy administration works and documentation; liaise with insurers on client enquiries and claims handling; assist with the preparation of proposals and presentation materials; other duties as assigned.,"Degree holders of any discipline, with further education on insurance related subjects preferred; minimum 5 years’ relevant experience in life and/or general insurance in a broking firm or an insurance company; good in MS Office applications, including Word, Excel and Chinese Word Processing; good communication and interpersonal skills; good spoken and writing skills in both English and Chinese; able to handle multiple tasks and work under pressure; be a good and advocate team player; immediate availability preferred.",HK,Not specified,https://hk.indeed.com/viewjob?jk=67ff3ba910641332,indeed,10/11/2025,Not specified,Apply via Company website
46,45,ᴴˢ Regular Part-time Kindergarten NET Teacher (2025-26 school year),Headstart Group Ltd.,https://teach.headstartgroup.co/,"Teaching is a fulfilling and impactful profession. You will nurture future citizens and leaders; and mold and shape the future yet to come. Join us and enter the formal school system for a promising career. Teacher will support a wide range of teaching and non-teaching responsibilities, including preparing daily teaching plans, conducting English lessons for nursery to K3 using interactive methods, and participating in school activities.","Must be a Native English Speaker, Higher Diploma or above, Pass in Sexual Conviction Record Check (SCRC)",Hong Kong,"$450.00 - $1,000.00 per day",https://hk.indeed.com/viewjob?jk=90c319d28b7eeecc,indeed,10/11/2025,Not specified,Submit teaching philosophy and resume; one-way online interview via Spark Hire after CV review
47,46,ᴴˢ Primary Full-Time NET (Familiar with UK/USA/CAN Curriculum),Headstart Group Ltd.,https://teach.headstartgroup.co/,Teaching is a fulfilling and impactful profession. You will nurture future citizens and leaders; and mold and shape the future yet to come. Join us and enter the formal school system for a promising career. Teacher will be expected to support a wide range of teaching and non-teaching responsibilities.,Must be a Native English Speaker; Familiar with UK/USA/CAN curriculum; Must be a Bachelor degree holder; Experience in teaching primary schools are preferred; Pass in Sexual Conviction Record Check (SCRC),Hong Kong,"$24,000.00 - $30,000.00 per month",https://hk.indeed.com/viewjob?jk=7b5428e4bb9f4776,indeed,10/11/2025,Not specified,"Send your teaching philosophy and resume. After CV review, complete a one-way online interview via Spark Hire."
48,47,ᴴˢ Kindergarten Full-Time NET (2025-26 school year),Headstart Group Ltd.,https://teach.headstartgroup.co/,"Teaching is a fulfilling and impactful profession. You will nurture future citizens and leaders, and mold and shape the future yet to come. Join us and enter the formal school system for a promising career. The teacher will support a wide range of teaching and non-teaching responsibilities, including teaching English lessons, developing curriculum, writing lesson plans, preparing resources, following up with children and parents, and assisting in school affairs and large-scale activities.",Must be a Native English Speaker; must hold a Bachelor’s degree; teaching experience in primary schools is preferred; must pass the Sexual Conviction Record Check (SCRC).,Hong Kong,"$24,000.00 per month",https://hk.indeed.com/viewjob?jk=d765fdb4c704612d,indeed,10/11/2025,Not specified,Submit teaching philosophy and resume; selected candidates will be invited for a one-way online interview via Spark Hire.
51,50,ᴴˢ Part-Time Native English Teacher (Full-time Non-local Undergraduate Students are welcomed),Headstart Group Ltd.,https://teach.headstartgroup.co/,"We are looking for native English teachers to lead in-class and after-school English programmes. All materials will be provided. Headstart Group Ltd. is Hong Kong’s leading English educational institution, providing support to kindergartens, primary and secondary schools, and universities. The role offers teaching experience, professional development, and flexible scheduling.",Native English speaker; university students are welcome; bachelor's degree required.,HK,$240.00 - $300.00 per hour,https://hk.indeed.com/viewjob?jk=5f530bfeb3814e04,indeed,10/11/2025,Not specified,"Send your teaching philosophy and resume. After initial CV review, applicants will be invited to complete a one-way online interview via Spark Hire."
52,51,ᴴˢ Kindergarten Full-Time NET (Familiar with UK/USA/CAN Curriculum),Headstart Group Ltd.,https://teach.headstartgroup.co/,"Teaching is a fulfilling and impactful profession. You will nurture future citizens and leaders; and mold and shape the future yet to come. Join us and enter the formal school system for a promising career. Teacher will support a wide range of teaching and non-teaching responsibilities, including teaching English lessons, developing curriculum, writing lesson plans, preparing resources, following up with children and parents, and assisting in school affairs and large-scale activities.",Must be a Native English Speaker; familiar with UK/USA/CAN curriculum; must hold a Bachelor's degree; teaching experience in primary schools is preferred; must pass Sexual Conviction Record Check (SCRC).,Hong Kong,"$24,000.00 - $30,000.00 per month",https://hk.indeed.com/viewjob?jk=65a911990bca51d2,indeed,10/11/2025,Not specified,Submit teaching philosophy and resume; one-way online interview via Spark Hire after CV review.
53,52,ᴴˢ Primary Full-Time Native English Teacher (2025-26 school year),Headstart Group Ltd.,https://teach.headstartgroup.co/,"Teaching is a fulfilling and impactful profession. You will nurture future citizens and leaders; and mold and shape the future yet to come. Join us and enter the formal school system for a promising career. The teacher will support a wide range of teaching and non-teaching responsibilities, including delivering English lessons, curriculum development, lesson planning, student and parent follow-up, and assisting in school activities.","Must be a native English speaker, hold a bachelor's degree, have primary school teaching experience (preferred), and pass a Sexual Conviction Record Check (SCRC).",Hong Kong,"$24,000.00 - $28,000.00 per month",https://hk.indeed.com/viewjob?jk=dbc245d31ca7ca3f,indeed,10/11/2025,Not specified,Submit teaching philosophy and resume; one-way online interview via Spark Hire after CV review
54,53,ᴴˢ Part-Time Native English Teacher (New Territories),Headstart Group Ltd.,https://teach.headstartgroup.co/,"We are looking for energetic and reliable English teachers to lead in-class and after-school English programmes. All materials will be provided. Headstart Group Ltd. is Hong Kong’s leading English educational institution, providing support to kindergartens, primary and secondary schools, and universities. The role offers a flexible schedule and opportunities for professional development.",Native English Speaker; Higher Diploma or above; Energetic with strong work ethic; Excellent organisation and time management skills; Experience in leading in-class or after-school English programmes; Must have HKID card / dependent VISA or valid work permit,"NT, HK",$240.00 - $280.00 per hour,https://hk.indeed.com/viewjob?jk=a9546e9f6dea3623,indeed,10/11/2025,Not specified,"Send your teaching philosophy and resume. After CV review, applicants will be invited to a one-way online interview via Spark Hire."
55,54,ᴴˢ Part-Time Native English Teacher (Kowloon + Hong Kong Island),Headstart Group Ltd.,https://teach.headstartgroup.co/,"We are looking for energetic and reliable English teachers to lead in-class and after-school English programmes. All materials will be provided. Headstart Group Ltd. is Hong Kong’s leading English educational institution, providing support to kindergartens, primary and secondary schools, and universities. The role offers a flexible schedule and meaningful teaching experience.",Native English Speaker; Higher Diploma or above; Energetic with strong work ethic; Excellent organisation and time management skills; Experience in leading in-class or after-school English programmes; Must have HKID card / dependent VISA or valid work permit.,"Kowloon, Hong Kong",$260.00 - $300.00 per hour,https://hk.indeed.com/viewjob?jk=b369e1dd5c2f3058,indeed,10/11/2025,Not specified,"Send your teaching philosophy and resume. After CV review, applicants will be invited to a one-way online interview via Spark Hire."
56,55,ᴴˢ Part-time English Tutor (Cantonese AND Mandarin speaker will be given priority),Headstart Group Ltd.,https://teach.headstartgroup.co/,"We are looking for English tutors to lead in-class and after-school English programmes. All materials will be provided. Headstart Group Ltd. is Hong Kong’s leading English educational institution, providing support to kindergartens, primary and secondary schools, and universities. The role involves teaching English with benefits including competitive pay, in-class support, and professional development.","University students are welcome; Bachelor degree; Level 4 in DSE English Language or equivalent; experience in DSE or teaching DSE programme preferred; excellent command of English, Cantonese, and Mandarin; must have HKID card, dependent VISA, or valid work permit.",Hong Kong,$240.00 - $300.00 per hour,https://hk.indeed.com/viewjob?jk=1872b211ba697d9a,indeed,10/11/2025,Not specified,Submit teaching philosophy and resume; shortlisted candidates will be invited for a one-way online interview via Spark Hire.
57,56,ᴴˢ Secondary Part-time IELTS Teacher,Headstart Group Ltd.,https://teach.headstartgroup.co/,"We are looking for IELTS Teachers to lead in-class and after-school English programmes. All materials will be provided. Headstart Group Ltd. is Hong Kong’s leading English educational institution, providing support to kindergartens, primary and secondary schools, and universities. The role offers teaching experience, professional development, and career advancement opportunities.",Native English Speaker; Bachelor degree or higher diploma; Valid IELTS result with 7 or above; University students are welcome to apply.,"Kowloon, Hong Kong",$240.00 - $280.00 per hour,https://hk.indeed.com/viewjob?jk=73a3319895a4140f,indeed,10/11/2025,Not specified,"Send your teaching philosophy and resume. After CV review, applicants will be invited to a one-way online interview via Spark Hire."
58,57,ᴴˢ Teacher Coordinator and Quality Control,Headstart Group Ltd.,https://teach.headstartgroup.co/,Monitor and evaluate the quality of NETs to ensure compliance with company standards; develop training materials and conduct training on teaching skills for NETs; lead a team to assess performance through class observation and provide feedback; support teachers with challenges; stay updated on educational trends and methodologies; assist in recruitment and selection of NETs.,"Bachelor’s degree in English, Education, or related field; experience teaching English in Primary or Secondary schools; understanding of Hong Kong English syllabuses; excellent spoken and written English; ability to work independently and in a team; strong computer and communication skills; hands-on training experience is an advantage.","Kwun Tong, Hong Kong","$25,000.00 - $30,000.00 per month",https://hk.indeed.com/viewjob?jk=c0baa868c381790d,indeed,10/11/2025,Not specified,Apply through the “APPLY NOW” button on the job page
59,58,ᴴˢ Officer (NET Recruitment),Headstart Group Ltd.,https://teach.headstartgroup.co/,Drive and support NET recruitment to attract top talents; stay updated on industry trends and emerging marketing techniques; assist in designing posters and updating social media regularly; collaborate with internal teams to implement marketing and business development strategies; support any ad hoc projects.,"Degree or above in Business, Marketing or related fields; 1 - 2 years working experience in talent acquisition; proactive, creative, responsible, well-organised and a good team player; excellent command of spoken and written English; strong computer skills and good communication skills; knowledge of Canva, Photoshop and AI is an advantage.","Kwun Tong, Hong Kong","$12,219.56 - $38,679.15 per month",https://hk.indeed.com/viewjob?jk=84eaf12552422f9b,indeed,10/11/2025,Not specified,"Apply through the “APPLY NOW” button with full resume, stating position, current and expected salary, and availability"
60,59,Senior Developer / Engineer / Programmer (Front-end),Evention Limited,https://hk.indeed.com/cmp/Evention-Limited,"Design, implementation, deployment and problem diagnosis of iOS/Android applications; develop mobile/web applications (Front-end); work closely with the team to develop enterprise solutions; develop business logic, systems and elegant user interfaces; collaborate with project teams and clients to meet requirements; contribute ideas and share knowledge with teammates.","Diploma or Degree in Computer Science, IT, Engineering or equivalent; experience in React, Vue, SWIFT, React Native, or Flutter; mobile app development experience is a plus; good analytical, communication, and interpersonal skills; responsible, able to work under pressure; self-motivated; demos welcome; 1 year of experience or fresh graduates welcome.","Cheung Sha Wan, KOW, HK","$10,433.05 - $31,553.64 per month",https://hk.indeed.com/viewjob?jk=5b81302197bc6816,indeed,10/11/2025,Not specified,Click APPLY on the job posting to submit application with expected salary
61,60,Business Analyst (1-year Contract),AXA,http://careers.axa.com/global/en,"Assist and participate in project tasks, elicit and gather requirements, deal with different parties, understand business requirements, review functional specifications, define testing scopes/scenarios. Suggest effective solutions for project team. Lead and support system testing, coordinate, plan and participate in User Acceptance Testing (UAT) and Implementation Verification Testing (IVT) for system enhancement. Prepare regular and ad-hoc reports and analysis. Support production fixes, communicate with stakeholders, understand system behaviors, and correct data from systems.","University graduate in Information System, Computer Science, Mathematics, Statistics or related discipline. At least 2 years of working experience in insurance or banking industry; experience in business requirement gathering, functional specification review, and UAT execution is an advantage. Good analytical, problem-solving, and organizational skills. Logical, numerically sensitive, and detail-oriented. Team player with strong communication skills. Proficient in MS Word, MS Excel, MS Access, SQL; VBA proficiency is a plus. Strong command of spoken and written English and Chinese. Candidates with less experience may be considered as Assistant Business Analyst.","Wong Chuk Hang, HKI, HK",Not specified,https://hk.indeed.com/viewjob?jk=baca44e84f14faa6,indeed,10/11/2025,Not specified,Not specified
63,62,Executive Sales Assistant,Top & Top Limited,https://hk.indeed.com/cmp/Top-&-Top-Limited,"Coordinating and managing sales projects, identifying challenges in sales processes, collaborating with marketing and account teams, maintaining relationships with wholesale customers, exploring new business opportunities in Hong Kong and Macau, and supporting overall sales performance.","Diploma or above in Business Administration, Marketing or related field; proficiency in MS Office (especially Excel VLOOKUP and pivot tables); at least 1 year of sales experience in wholesale, preferably in FMCG or fashion products; strong communication and problem-solving skills; fluent in English, Cantonese, and Mandarin; self-motivated and target-oriented.","KOW, HK","$18,000.00 - $21,000.00 per month",https://hk.indeed.com/viewjob?jk=9c0cc1815ca46152,indeed,10/11/2025,Not specified,"Send full resume via email to hr@topntop.com.hk or apply through the Indeed ""APPLY"" button"
65,64,"Environmental Consultant, Environment (Cultural Heritage)",AECOM,http://www.aecom.com,"Conduct research and desk-based cultural heritage studies; provide support in field surveys and assessments, investigation and/or archaeological excavation; record and analyse site findings; prepare cultural heritage study reports.","Bachelor’s degree or above in any discipline, with preference for backgrounds in Archaeology, Anthropology, Architectural Conservation, Classics, Cultural Studies, Fine Arts, History, Geography, Journalism, or Sociology; 3 years of experience in cultural heritage studies, surveys, historic structure evaluation, site recording, and report preparation; enthusiasm for cultural heritage and understanding of Hong Kong's historical context preferred; strong literature review, investigation, and interview skills advantageous; ability to work independently and as a team player; good command of written and spoken English and Chinese; applicants with less experience may be considered for Graduate or Assistant positions.","Sha Tin, NT, HK",Not specified,https://jobs.smartrecruiters.com/AECOM2/744000092550984-environmental-consultant-environment-cultural-heritage-,indeed,10/11/2025,Not specified,"Online application with cover letter, resume, academic transcripts and certificates, public examination results, and work references. Incomplete applications may not be considered."
68,67,Sales Development Associate - Mandarin Speaker,EcoVadis,https://www.ecovadis.com,"EcoVadis seeks a high energy and dynamic Sales Development Representative (SDR) to join their team in Hong Kong. The role involves prospecting and outreach to engage and qualify potential customers, scheduling meetings for Account Executives, advocating sustainability and CSR in global supply chains, leveraging sales tools like Salesforce, and contributing to pipeline growth through consistent activity and reporting.","Bachelor’s degree in business, sustainability, procurement or related field; experience in sales development, lead generation, or marketing (cold calling/prospecting preferred); voluntary or work experience in sustainability, CSR, or procurement considered; fluency in English and Mandarin (written and verbal); proficiency with Salesforce, LinkedIn, or other sales tools advantageous; self-disciplined with strong time management, active listening, resilience, and quick thinking skills.",Hong Kong,Not specified,https://jobs.smartrecruiters.com/ecovadis/744000092633064-sales-development-associate-mandarin-speaker,indeed,10/11/2025,Not specified,Online application via job portal
69,68,Deputy Manager to Manager (Product Sales),Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),Responsible for formulating and implementing sales and marketing strategies to promote trade finance products to customers; maintain key customer list and monitor sales performance; prepare management reports on key account preference and market analysis; prepare product promotional and training materials for both internal and external parties.,"University graduate with major in business management, finance, economics or related disciplines; minimum 3 years of relevant banking experience; experience in trade finance product development is preferred; good knowledge of CDCS/CITF/CSDG is an advantage; proficiency in MS Office applications including Excel, Word, PowerPoint; self-motivated with excellent communication and negotiation skills; strong command of both written and spoken Chinese, including Putonghua.",HK,Not specified,https://hk.indeed.com/viewjob?jk=2f3f878c826cb0f8,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com
70,69,"Deputy Manager to Senior Manager, Product Compliance, CUD",Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),"Provide compliance advice to ensure compliance with relevant regulatory requirements; review procedures and manuals to ensure changes of controls of internal policies and regulations are documented and effectively implemented; develop and update compliance policies and procedures based on updated regulatory requirements and new business; perform compliance review and checking, oversight on operation of custody, trustee or fund administrator and delegated service generally, including performing regular review/control testing in relation to the custody/trustee/fund administration business in accordance with internal policies and applicable regulations; perform risk and compliance related tasks required by group policies, such as KRI and KRA reviews and regular reporting; identify breaches, risks and other matters and provide advice to internal parties and/or clients on fiduciary matters for rectification/escalation; act as a consulting point to provide advice to the custody service department on risk and compliance matters; other tasks as assigned by management.","Degree holder in Law/Business/Economics; at least 5 years of custody and trustee business compliance related experience covering compliance monitoring on custodian operations and SFC unit trust business; good knowledge of regulations, rules and statutory requirements of SFC regulated activities; good knowledge of custody products, public/private collective investment schemes, Hong Kong-Mainland interconnection products; good understanding of fund/investment strategies and related rules of risk; proficient in both spoken and written English and Chinese.",HK,Not specified,https://hk.indeed.com/viewjob?jk=5dbbce470e7ad902,indeed,09/11/2025,Not specified,Email your resume to
71,70,"Relationship Manager, Foreign Bank Business",Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),Highly focus on exploring new clients; responsible for promoting and marketing banking products to clients; acting as single point of contact to provide one-stop coverage across all product areas for clients; responsible for all credit and KYC matters related to designated clients portfolio; comply with all internal procedures and external regulations.,"Bachelor Degree Holder in Finance, Accounting, Economics, Commerce or Marketing disciplines; at least 2 years relevant experience in relationship management role of international bank in covering foreign bank clients; applicant with more experience will be considered as Senior RM role; excellent relationship management skills; familiar with bank clients' banking products and market; open minded and able to work under pressure; Relevant Individuals of RA Type 1 and 4 preferable; excellent in written and spoken English and Chinese, including Putonghua.",HK,Not specified,https://hk.indeed.com/viewjob?jk=7470fecb737115b4,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com
72,71,"Relationship Manager (SME), GBA Corporate Banking",Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),"We are actively recruiting a Corporate Banking Relationship Manager to bolster our team and business expansion in the SME section. Key responsibilities include establishing long-term relationships with SME customers, exploring new business opportunities, promoting banking products, conducting financial and credit analysis, preparing credit proposals, cross-selling, ensuring KYC/AML compliance, managing loan portfolio risks, and collaborating across departments for consistent customer management.","Bachelor’s degree or above in Finance, Accounting, Business Administration, Marketing or related fields; at least 5 years of experience in Commercial Banking with independent handling of lending and deposit portfolios; strong relationship management, financial analysis, and credit assessment skills; fluency in English and Chinese (including Putonghua); good logical thinking; priority given to candidates with financial technology background or Type 1 and Type 4 licenses under the Securities and Futures Ordinance.",HK,Not specified,https://hk.indeed.com/viewjob?jk=a82ffc019b344b79,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com
73,72,Customer Service Manager,Industrial and Commercial Bank of China (ICBC),https://hk.indeed.com/cmp/Industrial-and-Commercial-Bank-of-China-(icbc),"Provide sales services to customers including account openings, AML checking, deposit quotation, remittance & banking; coordinate and track internal business reporting of the business unit; cross-sell bank's customer products to potential customers; act as coordinator for the Department to liaise with customers and other departments in daily operations; perform ad-hoc tasks as assigned.","Secondary education level or above; relevant working experience in banking operations such as loans administration, deposits, account opening, e-banking services, preferably with front-line or customer service/bills operation experience; good business sense, excellent communication and interpersonal skills; mature and self-driven; self-motivated, independent, and able to work under pressure; conversant in MS Office Applications; good command of both written and spoken English and Chinese.",HK,Not specified,https://hk.indeed.com/viewjob?jk=abc847a8804ee0a0,indeed,09/11/2025,Not specified,Please submit your resume to hrd@icbcasia.com.
